station_id,latitude,longitude
GHCND:AG000060390,36.7167,3.25
GHCND:AG000060590,30.5667,2.8667
GHCND:AG000060611,28.05,9.6331
GHCND:AG000060680,22.8,5.4331
GHCND:AJ000037575,41.55,46.667
GHCND:AJ000037579,41.7,46.8
GHCND:AJ000037605,41.3,45.6
GHCND:AJ000037636,41.3,45.5
GHCND:AJ000037639,41.133,45.417
GHCND:AJ000037656,41.2,46.8
GHCND:AJ000037661,41.217,47.167
GHCND:AJ000037668,41.1,47.5
GHCND:AJ000037673,41.5,48.8
GHCND:AJ000037674,41.2,48.2
GHCND:AJ000037675,41.367,48.517
GHCND:AJ000037679,41.1,49.2
GHCND:AJ000037729,40.7,45.8
GHCND:AJ000037734,40.8,46
GHCND:AJ000037735,40.7167,46.4167
GHCND:AJ000037740,40.983,47.867
GHCND:AJ000037744,40.767,47.05
GHCND:AJ000037749,40.65,47.75
GHCND:AJ000037753,40.867,48.933
GHCND:AJ000037756,40.533,48.933
GHCND:AJ000037759,40.633,48.633
GHCND:AJ000037769,40.6,49.633
GHCND:AJ000037813,40.3,45.9
GHCND:AJ000037816,40.5,46.1
GHCND:AJ000037825,40.4,46.3
GHCND:AJ000037831,40.4,47
GHCND:AJ000037835,40.2,47.7
GHCND:AJ000037844,40.333,48.167
GHCND:AJ000037849,40.017,48.917
GHCND:AJ000037850,40.4,49.8
GHCND:AJ000037860,40.533,50
GHCND:AJ000037861,40.2,50.9
GHCND:AJ000037866,40.467,50.317
GHCND:AJ000037869,40.3,50.6
GHCND:AJ000037883,39.9,45.9
GHCND:AJ000037893,39.9,46.9
GHCND:AJ000037895,39.983,46.75
GHCND:AJ000037898,39.7,46.5
GHCND:AJ000037899,39.767,46.75
GHCND:AJ000037901,39.8,47.1
GHCND:AJ000037902,39.8,47.5
GHCND:AJ000037905,39.767,47.75
GHCND:AJ000037907,39.6,47.15
GHCND:AJ000037912,39.9,48.5
GHCND:AJ000037913,39.6,48.9
GHCND:AJ000037914,39.9,48
GHCND:AJ000037922,39.8,49.6
GHCND:AJ000037923,39.967,49.4
GHCND:AJ000037925,39.4,49.25
GHCND:AJ000037936,39.2,45.417
GHCND:AJ000037941,39.4,45.6
GHCND:AJ000037946,39.1,46
GHCND:AJ000037947,38.95,45.633
GHCND:AJ000037957,38.917,46.017
GHCND:AJ000037962,39.4,47
GHCND:AJ000037968,39,46.7
GHCND:AJ000037972,39.467,48.55
GHCND:AJ000037978,39.7,48.6
GHCND:AJ000037981,38.9,48.2
GHCND:AJ000037984,38.767,48.4
GHCND:AJ000037985,38.75,48.817
GHCND:AJ000037989,38.5,48.9
GHCND:ALE00100939,41.3331,19.7831
GHCND:ALE00108905,42.1,19.5331
GHCND:AM000037686,40.78,43.83
GHCND:AM000037789,40.2,44.5
GHCND:AM000037801,40.35,45.1331
GHCND:AQC00914000,-14.31667,-170.76667
GHCND:AQC00914248,-14.221483,-169.512897
GHCND:AQC00914594,-14.33333,-170.76667
GHCND:AQW00061705,-14.33056,-170.71361
GHCND:AR000000008,-29.783,-57.983
GHCND:AR000000011,-30.267,-57.65
GHCND:AR000087007,-22.1,-65.6
GHCND:AR000087065,-24.167,-62.9
GHCND:AR000087078,-24.7,-60.583
GHCND:AR000087129,-27.767,-64.3
GHCND:AR000087155,-27.45,-59.05
GHCND:AR000087257,-29.883,-61.95
GHCND:AR000087270,-29.183,-59.7
GHCND:AR000087374,-31.783,-60.483
GHCND:AR000087418,-32.833,-68.783
GHCND:AR000087534,-34.133,-63.367
GHCND:AR000087623,-36.567,-64.266
GHCND:AR000087692,-37.933,-57.583
GHCND:AR000087715,-38.95,-68.133
GHCND:AR000087828,-43.2,-65.266
GHCND:AR000087860,-45.783,-67.5
GHCND:AR000087925,-51.617,-69.283
GHCND:AR000870470,-24.85,-65.483
GHCND:AR000875440,-35.867,-61.9
GHCND:AR000877500,-38.733,-62.167
GHCND:ARM00087022,-22.62,-63.794
GHCND:ARM00087046,-24.393,-65.098
GHCND:ARM00087162,-26.213,-58.228
GHCND:ARM00087166,-27.446,-58.762
GHCND:ARM00087178,-27.386,-55.971
GHCND:ARM00087222,-28.596,-65.752
